hero	book
Georgina Ortega	The Ivory Piano
Ronan Richardson	The Ivory Piano
Rosa Sparks	His and Her Rules
Lee Finley	His and Her Rules
Betty Saunders (Telsa)	Mark of a Star
Carlos Mendez	Mark of a Star
Isabelle Khan	Texan Born
Isaiah Orozco	Texan Born
Roxanne Mann 	Texan Born
Annie Cummings	The Blighted Bone
Jerry Hanna	Druid's Sleep
Christina Mcbride (Tiphanie)	Clue of the Whispering Staircase
Roxanne Mann	Polar Legacy
Rosa Sparks	Polar Legacy
Martha Thompson	Death of the Shrieking Goose
Esme Sanford	League of Circe
Isaiah Orozc	League of Circe
Betty Saunders (Telsa)
	League of Circe
